Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
1.51055,2.22197937,-2.699486389,1.2859758,3.725339292
1.520358,2.278711395,-2.486030273,1.551224213,3.712030267
1.530169,2.430795135,-2.580483856,1.788480835,3.970683269
1.539978,2.8081604,-2.666105804,2.06166275,4.386836935
1.549786,3.355572052,-2.764750671,2.12019104,4.837243029
1.559596,3.683839417,-2.632425842,2.250270538,5.056090996
1.569404,4.013603668,-2.21733902,2.454296265,5.200882318
1.579213,4.601431274,-1.545086975,2.517464905,5.467914875
1.589022,4.73884552,-1.160985718,2.262095947,5.377882741
1.598831,3.966302032,-0.754281464,1.937121735,4.478050129
1.60864,2.314786377,0.184715881,1.658401337,2.853533059
1.618451,0.189356232,2.491718445,2.949915619,3.866072781
1.628257,-0.758921814,5.880970459,5.771098938,8.274500517
1.638069,-1.602118378,9.207652588,7.299121399,11.85853375
1.647878,-3.587290192,12.54331604,8.901539154,15.79369582
1.657688,-6.338868256,16.60706543,11.21931931,21.02020453
1.667498,-9.583520966,21.43752045,14.97156647,27.84885921
1.677306,-12.62265106,25.82848938,17.46133896,33.63540607
1.687114,-15.25358002,28.81807251,19.31313812,37.89657386
1.696924,-16.33612885,30.9150618,19.63886078,40.10355351
1.706732,-16.00352051,32.55370422,17.75338165,40.38612246
1.716541,-14.16788773,29.22223206,15.23801239,35.87289939
1.726349,-11.59279266,26.23339737,12.54107071,31.30275441
1.736156,-10.72429871,26.52873322,9.633067932,30.19238756
1.745964,-8.847351837,24.46108292,8.672515411,27.41956848
1.755753,-7.686366119,22.55180328,7.392377472,24.94616805
1.765581,-6.734944611,20.81526443,6.848708038,22.92464862
1.77539,-5.71002594,18.32683914,5.625601501,20.00312029
1.785201,-4.729415131,15.76431793,4.299658813,17.01082459
1.79501,-4.090543671,13.16856583,3.154390411,14.14545341
1.80482,-3.405119019,10.40516235,2.271226959,11.18126607
1.814629,-2.589465179,7.691754913,1.648821259,8.281728992
1.82444,-1.711540833,5.329068146,1.051114197,5.695013642
1.83425,-0.76880127,3.393592987,0.300275574,3.492519746
1.844058,-0.080382843,1.882036285,-0.220341797,1.896594972
1.853868,0.774190063,0.718655548,-0.744102631,1.292100916
1.863679,1.543141022,-0.243094482,-1.18298996,1.959552088
1.873488,2.329755249,-1.344204712,-1.479074249,3.069577571
1.883297,2.903512115,-2.646197205,-1.646725616,4.259629973
1.893107,3.235222321,-3.842958527,-1.470691681,5.234302983
1.902916,3.342100067,-4.629123688,-0.846789093,5.771955539
1.912724,3.089724884,-5.013674011,-0.076640625,5.889753877
1.922533,2.751278687,-5.240452423,0.512683868,5.940936017
1.932328,2.408790894,-5.377118225,1.061891785,5.986926435
1.94215,2.236648865,-5.746100922,1.110989685,6.26534692
1.951931,1.970801697,-5.042414246,0.818198547,5.475349269
1.961758,1.44269989,-4.477189636,1.045575714,4.818696773
1.971575,0.52301239,-4.31522644,1.144819336,4.495034205
1.981382,0.393980713,-3.68922821,1.16068634,3.887520852
1.991193,0.053887939,-3.181633759,1.251098328,3.419202291
2.001001,-0.660276947,-2.495011597,1.45557312,2.963062879
2.010808,-1.793869629,-0.818797302,2.980601807,3.573847282
2.020617,-2.454146576,0.857117615,4.816533966,5.473251818
2.030426,-2.676733704,2.674937439,6.376140747,7.414537373
2.040235,-3.269051971,5.544619904,8.24440567,10.45943285
2.050043,-4.000880127,9.139095154,10.50979477,14.49088983
2.059851,-4.988526306,12.76904663,12.32806366,18.4367866
2.069659,-5.962101746,16.44525192,13.85249359,22.31332666
2.079467,-6.54079834,18.2889679,13.91715912,23.89467948
2.089275,-6.456224213,19.1489296,12.45380219,23.73734451
2.099085,-5.95461731,19.78465759,11.02741837,23.41995088
2.108891,-5.890550537,21.84063217,9.717642059,24.61999932
2.118703,-5.651048584,23.72910507,9.231602783,26.08116691
2.128512,-5.590424652,25.46669174,8.898096313,27.54961622
2.138322,-5.538332977,27.08602432,8.971144409,29.0655686
2.148131,-5.40226593,28.17605759,9.327702942,30.16754449
